iter	Passed	Remaining
0	22	22137
1	38	19078
2	55	18488
3	72	18096
4	87	17425
5	104	17357
6	124	17654
7	139	17347
8	158	17403
9	174	17255
10	187	16899
11	202	16641
12	218	16619
13	237	16694
14	250	16464
15	265	16301
16	276	16008
17	290	15875
18	304	15735
19	319	15633
20	332	15481
21	345	15340
22	358	15223
23	371	15118
24	385	15044
25	398	14939
26	415	14980
27	434	15099
28	450	15069
29	463	14994
30	475	14858
31	490	14832
32	504	14780
33	518	14741
34	532	14680
35	546	14639
36	561	14619
37	578	14639
38	591	14569
39	605	14520
40	618	14473
41	633	14460
42	647	14419
43	663	14408
44	676	14346
45	690	14316
46	703	14259
47	718	14240
48	733	14242
49	748	14224
50	764	14221
51	783	14276
52	797	14247
53	813	14257
54	829	14256
55	847	14285
56	864	14296
57	880	14297
58	904	14421
59	920	14414
60	939	14464
61	958	14494
62	973	14479
63	991	14507
64	1006	14482
65	1020	14447
66	1036	14437
67	1051	14413
68	1064	14365
69	1079	14343
70	1094	14324
71	1109	14304
72	1125	14297
73	1139	14258
74	1154	14239
75	1168	14208
76	1184	14203
77	1200	14189
78	1213	14149
79	1228	14128
80	1246	14140
81	1260	14112
82	1274	14079
83	1288	14048
84	1301	14010
85	1318	14011
86	1335	14011
87	1348	13979
88	1363	13953
89	1378	13934
90	1393	13924
91	1408	13899
92	1421	13867
93	1437	13854
94	1452	13840
95	1467	13816
96	1481	13794
97	1497	13779
98	1511	13760
99	1527	13747
100	1542	13727
101	1554	13688
102	1570	13673
103	1585	13659
104	1599	13636
105	1614	13620
106	1629	13597
107	1646	13597
108	1659	13563
109	1673	13541
110	1688	13526
111	1701	13492
112	1715	13462
113	1728	13436
114	1744	13425
115	1758	13404
116	1772	13380
117	1785	13348
118	1800	13329
119	1813	13302
120	1827	13278
121	1841	13249
122	1855	13231
123	1868	13200
124	1882	13179
125	1896	13153
126	1912	13144
127	1926	13126
128	1941	13106
129	1956	13090
130	1971	13076
131	1983	13045
132	1997	13022
133	2012	13005
134	2025	12979
135	2039	12958
136	2055	12947
137	2068	12920
138	2080	12890
139	2096	12875
140	2109	12854
141	2122	12826
142	2138	12815
143	2150	12785
144	2164	12763
145	2178	12741
146	2193	12725
147	2207	12709
148	2221	12689
149	2235	12669
150	2248	12642
151	2263	12627
152	2276	12604
153	2291	12588
154	2307	12578
155	2322	12563
156	2336	12545
157	2349	12518
158	2364	12506
159	2379	12494
160	2392	12467
161	2406	12450
162	2422	12439
163	2439	12435
164	2455	12428
165	2472	12420
166	2486	12400
167	2498	12372
168	2511	12348
169	2525	12332
170	2540	12318
171	2554	12296
172	2569	12284
173	2585	12274
174	2601	12265
175	2614	12241
176	2630	12232
177	2644	12213
178	2658	12194
179	2674	12182
180	2687	12160
181	2703	12149
182	2717	12134
183	2730	12110
184	2744	12090
185	2758	12070
186	2773	12057
187	2788	12044
188	2802	12024
189	2816	12007
190	2829	11983
191	2843	11964
192	2858	11950
193	2873	11936
194	2888	11924
195	2904	11915
196	2918	11895
197	2931	11876
198	2944	11853
199	2961	11845
200	2974	11825
201	2988	11805
202	3002	11786
203	3017	11774
204	3031	11756
205	3048	11749
206	3060	11723
207	3074	11707
208	3088	11687
209	3102	11670
210	3115	11651
211	3129	11631
212	3142	11612
213	3156	11593
214	3172	11582
215	3187	11568
216	3201	11550
217	3216	11537
218	3230	11521
219	3245	11505
220	3259	11490
221	3273	11472
222	3287	11454
223	3305	11451
224	3320	11436
225	3334	11418
226	3348	11401
227	3361	11382
228	3375	11363
229	3389	11347
230	3403	11331
231	3418	11316
232	3431	11297
233	3447	11286
234	3461	11269
235	3475	11250
236	3488	11232
237	3502	11213
238	3517	11199
239	3532	11185
240	3545	11166
241	3558	11145
242	3574	11135
243	3588	11118
244	3604	11107
245	3619	11093
246	3633	11075
247	3647	11060
248	3661	11043
249	3675	11026
250	3689	11011
251	3704	10995
252	3717	10976
253	3733	10966
254	3748	10952
255	3763	10937
256	3777	10920
257	3790	10900
258	3806	10890
259	3820	10874
260	3835	10858
261	3850	10846
262	3863	10827
263	3877	10811
264	3890	10790
265	3906	10780
266	3920	10764
267	3935	10749
268	3951	10738
269	3966	10724
270	3980	10708
271	3995	10692
272	4009	10678
273	4024	10663
274	4036	10642
275	4052	10630
276	4066	10614
277	4081	10600
278	4095	10584
279	4110	10570
280	4125	10555
281	4137	10535
282	4151	10518
283	4166	10504
284	4181	10491
285	4195	10474
286	4211	10461
287	4224	10444
288	4238	10426
289	4251	10408
290	4266	10394
291	4279	10376
292	4294	10362
293	4308	10346
294	4323	10332
295	4340	10322
296	4353	10304
297	4369	10292
298	4383	10276
299	4398	10262
300	4416	10255
301	4430	10240
302	4444	10224
303	4459	10210
304	4474	10195
305	4487	10176
306	4500	10158
307	4515	10145
308	4529	10128
309	4542	10110
310	4558	10098
311	4571	10081
312	4585	10064
313	4600	10050
314	4615	10037
315	4631	10026
316	4647	10012
317	4660	9995
318	4675	9981
319	4689	9965
320	4705	9952
321	4719	9937
322	4733	9921
323	4749	9908
324	4762	9891
325	4780	9884
326	4795	9869
327	4814	9862
328	4833	9857
329	4855	9857
330	4875	9854
331	4893	9845
332	4915	9846
333	4937	9845
334	4957	9841
335	4975	9833
336	4992	9821
337	5006	9806
338	5022	9793
339	5038	9781
340	5053	9766
341	5066	9747
342	5079	9728
343	5093	9712
344	5109	9700
345	5123	9683
346	5137	9668
347	5151	9651
348	5165	9636
349	5181	9623
350	5197	9610
351	5215	9600
352	5231	9588
353	5246	9573
354	5262	9561
355	5284	9559
356	5305	9555
357	5331	9561
358	5354	9559
359	5372	9550
360	5386	9534
361	5401	9519
362	5415	9503
363	5430	9487
364	5448	9478
365	5463	9463
366	5476	9446
367	5495	9437
368	5516	9432
369	5537	9427
370	5555	9419
371	5575	9413
372	5598	9410
373	5613	9395
374	5628	9380
375	5643	9365
376	5659	9352
377	5673	9335
378	5689	9321
379	5704	9306
380	5719	9291
381	5735	9278
382	5749	9261
383	5761	9243
384	5776	9227
385	5796	9220
386	5811	9205
387	5829	9195
388	5853	9193
389	5872	9184
390	5892	9177
391	5911	9168
392	5927	9155
393	5942	9140
394	5959	9127
395	5973	9111
396	5991	9100
397	6009	9089
398	6032	9086
399	6050	9076
400	6067	9063
401	6083	9049
402	6099	9036
403	6119	9027
404	6137	9016
405	6153	9002
406	6171	8991
407	6186	8976
408	6200	8960
409	6221	8953
410	6238	8940
411	6257	8931
412	6275	8919
413	6294	8909
414	6310	8895
415	6324	8878
416	6339	8863
417	6356	8849
418	6370	8833
419	6385	8817
420	6401	8803
421	6417	8790
422	6432	8774
423	6448	8760
424	6464	8746
425	6478	8729
426	6494	8715
427	6510	8701
428	6525	8686
429	6539	8669
430	6557	8656
431	6569	8638
432	6584	8622
433	6597	8604
434	6614	8591
435	6633	8580
436	6648	8564
437	6666	8553
438	6683	8541
439	6701	8529
440	6717	8514
441	6735	8502
442	6752	8489
443	6768	8475
444	6783	8460
445	6799	8445
446	6814	8430
447	6831	8417
448	6844	8398
449	6859	8383
450	6875	8369
451	6890	8354
452	6905	8338
453	6923	8326
454	6939	8311
455	6953	8295
456	6968	8280
457	6982	8263
458	6996	8246
459	7011	8230
460	7027	8216
461	7046	8206
462	7067	8196
463	7090	8190
464	7110	8181
465	7128	8169
466	7146	8156
467	7163	8143
468	7181	8130
469	7200	8120
470	7218	8107
471	7235	8093
472	7251	8079
473	7266	8063
474	7281	8047
475	7296	8032
476	7313	8018
477	7329	8003
478	7344	7988
479	7360	7973
480	7376	7959
481	7390	7942
